,cena,powierzchnia,liczba_pokoi,stan_wykonczenia,balkon_ogrod_taras,czynsz,miejsce_parkingowe,ogrzewanie,lokalizacja
6191,559000,42.1,2,do remontu,balkon,,,miejskie,"ul. Michała Bałuckiego, Dębniki, Dębniki, Kraków, małopolskie"
6192,842345,41.09,2,do wykończenia,balkon,,garaż/miejsce parkingowe,miejskie,"ul. Cieszyńska, Krowodrza, Krowodrza, Kraków, małopolskie"
6193,,57.99,3,do wykończenia,balkon,,garaż/miejsce parkingowe,,"ul. Piotra Borowego, Zwierzyniec, Zwierzyniec, Kraków, małopolskie"
6194,1700000,144.91,6,,,320,,,"al. płk. Władysława Beliny-Prażmowskiego, Osiedle Oficerskie, Grzegórzki, Kraków, małopolskie"
6195,700000,60.95,4,,balkon,150,garaż/miejsce parkingowe,,"ul. Pękowicka, Zielonki, Zielonki, krakowski, małopolskie"
6196,,78.97,4,do wykończenia,balkon,,garaż/miejsce parkingowe,,"ul. Ognistych Wici, Mistrzejowice, Mistrzejowice, Kraków, małopolskie"
6197,993085,64.07,3,,,,,,"ul. Józefa Wybickiego, Azory, Prądnik Biały, Kraków, małopolskie"
6198,998510,64.42,3,,,,,,"ul. Józefa Wybickiego, Azory, Prądnik Biały, Kraków, małopolskie"
6199,899000,65.81,3,,,,,,"ul. Lasówka, Płaszów, Podgórze, Kraków, małopolskie"
6200,1250000,113.0,5,,balkon,1300,,inne,"ul. Stanisława Stojałowskiego, Kurdwanów, Podgórze Duchackie, Kraków, małopolskie"
6201,551070,47.1,3,do wykończenia,balkon,,garaż/miejsce parkingowe,miejskie,"Bieżanów, Bieżanów-Prokocim, Kraków, małopolskie"
6202,335000,31.0,2,do wykończenia,balkon,,,miejskie,"ul. Kalwaryjska, Stare Podgórze, Podgórze, Kraków, małopolskie"
6203,669000,37.98,2,do zamieszkania,"ogródek, taras",500,garaż/miejsce parkingowe,miejskie,"ul. Świtezianki, Dąbie, Grzegórzki, Kraków, małopolskie"
6204,929000,46.0,2,do zamieszkania,,600,,miejskie,"ul. Pawia, Kleparz, Stare Miasto, Kraków, małopolskie"
6205,799000,54.53,2,do zamieszkania,,650,garaż/miejsce parkingowe,miejskie,"ul. Przewóz, Płaszów, Podgórze, Kraków, małopolskie"
6206,919632,46.92,2,do wykończenia,balkon,,garaż/miejsce parkingowe,miejskie,"ul. Cieszyńska, Krowodrza, Krowodrza, Kraków, małopolskie"
6207,,55.13,3,do wykończenia,"ogródek, taras",,garaż/miejsce parkingowe,,"ul. Piotra Borowego, Zwierzyniec, Zwierzyniec, Kraków, małopolskie"
6208,1350000,87.0,4,,balkon,900,garaż/miejsce parkingowe,miejskie,"Biskupa Albina Małysiaka, Kobierzyn, Dębniki, Kraków, małopolskie"
6209,1149000,102.72,4,,,,garaż/miejsce parkingowe,gazowe,"Tonie, Prądnik Biały, Kraków, małopolskie"
6210,,151.83,7,do wykończenia,ogródek,500,garaż/miejsce parkingowe,miejskie,"ul. Podłużna, Chełm, Zwierzyniec, Kraków, małopolskie"
6211,1350000,70.6,4,,ogródek,,garaż/miejsce parkingowe,,"ul. Kosynierów, Dąbie, Grzegórzki, Kraków, małopolskie"
6212,770000,34.3,2,,taras,,,,"ul. Przemysłowa, Zabłocie, Podgórze, Kraków, małopolskie"
6213,752500,34.0,1,do zamieszkania,balkon,500,garaż/miejsce parkingowe,miejskie,"ul. Rakowicka, Przedmieście Warszawskie, Stare Miasto, Kraków, małopolskie"
6214,1115072,73.36,3,do wykończenia,balkon,,garaż/miejsce parkingowe,miejskie,"al. Jana Pawła II, Czyżyny, Czyżyny, Kraków, małopolskie"
6215,774900,47.25,2,do wykończenia,ogródek,,,miejskie,"al. Jana Pawła II, Czyżyny, Czyżyny, Kraków, małopolskie"
6216,961498,71.54,4,do wykończenia,balkon,,garaż/miejsce parkingowe,miejskie,"ul. Piaszczysta, Prądnik Biały, Prądnik Biały, Kraków, małopolskie"
6217,1141277,83.61,3,do wykończenia,balkon,,garaż/miejsce parkingowe,miejskie,"ul. Piaszczysta, Prądnik Biały, Prądnik Biały, Kraków, małopolskie"
6218,629000,43.8,3,do remontu,balkon,560,,miejskie,"Krowodrza, Krowodrza, Kraków, małopolskie"
6219,956071,65.35,3,do wykończenia,balkon,,garaż/miejsce parkingowe,miejskie,"ul. Piaszczysta, Prądnik Biały, Prądnik Biały, Kraków, małopolskie"
6220,719000,55.98,3,do wykończenia,ogródek,,,miejskie,"Wola Duchacka, Podgórze Duchackie, Kraków, małopolskie"
6221,1299000,60.0,4,do zamieszkania,"balkon, taras",110,,gazowe,"ul. Macieja Dębskiego, Opatkowice, Swoszowice, Kraków, małopolskie"
6222,2600000,123.0,3,do zamieszkania,balkon,688,,gazowe,"ul. św. Jana, Stare Miasto, Stare Miasto, Kraków, małopolskie"
6223,630000,32.0,2,do zamieszkania,balkon,,,,"al. 29 Listopada, Prądnik Czerwony, Prądnik Czerwony, Kraków, małopolskie"
6224,2588670,123.27,4,do wykończenia,balkon,,garaż/miejsce parkingowe,miejskie,"ul. gen. Tadeusza Kościuszki, Zwierzyniec, Zwierzyniec, Kraków, małopolskie"
6225,,44.96,2,do wykończenia,"ogródek, taras",,garaż/miejsce parkingowe,,"ul. Piotra Borowego, Zwierzyniec, Zwierzyniec, Kraków, małopolskie"
6226,1820000,74.0,3,do zamieszkania,,,garaż/miejsce parkingowe,,"ul. Grzegórzecka, Grzegórzki, Grzegórzki, Kraków, małopolskie"
6227,449999,23.5,1,do zamieszkania,"ogródek, taras",200,,miejskie,"ul. Obozowa, Ruczaj, Dębniki, Kraków, małopolskie"
